,Age,Gender,Marital Status,Occupation,Monthly Salary,Educational Qualifications,Family size,Pin code,Output,Age (Month)
39,23,F,Single,Student,No Income,Post Graduate,Large,560078,1.0,23
40,30,M,Married,Self Employeed,More than 50000,Uneducated,Large,560025,1.0,30
41,23,M,Single,Student,No Income,Graduate,Small,560026,1.0,23
42,23,M,Single,Student,No Income,Post Graduate,Large,560021,1.0,23
43,22,F,Single,Student,No Income,Post Graduate,Large,560010,1.0,22
44,22,M,Single,Student,No Income,Graduate,Large,560010,1.0,22
45,27,F,Married,Self Employeed,10001 to 25000,Post Graduate,Small,560034,1.0,27
46,24,F,Single,Student,No Income,Post Graduate,Small,560009,1.0,24
47,23,M,Single,Student,No Income,Post Graduate,Small,560009,1.0,23
48,23,F,Single,Student,No Income,Graduate,Small,560008,1.0,23
49,22,F,Single,Student,10001 to 25000,Post Graduate,Large,560010,1.0,22
50,23,F,Single,Student,No Income,Graduate,Large,560043,1.0,23
51,23,F,Single,Student,No Income,Post Graduate,Small,560009,1.0,23
52,24,M,Single,Student,No Income,Post Graduate,Small,560009,1.0,24
53,25,M,Single,Student,No Income,Post Graduate,Small,560002,1.0,25
54,22,M,Single,Student,No Income,Post Graduate,Small,560085,1.0,22
55,28,F,Married,Student,No Income,Graduate,Small,560086,1.0,28
56,22,F,Single,Student,No Income,Post Graduate,Small,560076,1.0,22
57,24,F,Single,Student,No Income,Graduate,Small,560009,1.0,24
58,31,M,Married,Employee,More than 50000,Ph.D,Large,560102,1.0,31
59,25,M,Single,Student,No Income,Post Graduate,Large,560086,1.0,25
60,23,M,Single,Student,No Income,Post Graduate,Large,560078,1.0,23
61,22,M,Single,Student,No Income,Post Graduate,Small,560076,1.0,22
62,23,M,Single,Student,25001 to 50000,Post Graduate,Small,560096,1.0,23
63,23,M,Single,Student,No Income,Graduate,Large,560029,1.0,23
64,23,F,Single,Student,No Income,Post Graduate,Small,560003,1.0,23
65,25,M,Single,Student,No Income,Post Graduate,Large,560046,1.0,25
66,24,M,Single,Employee,10001 to 25000,Graduate,Large,560030,1.0,24
67,23,F,Single,Student,No Income,Post Graduate,Large,560024,1.0,23
68,23,F,Single,Student,No Income,Post Graduate,Large,560024,1.0,23
69,24,F,Married,Employee,More than 50000,Ph.D,Large,560004,1.0,24
70,22,M,Single,Student,No Income,Graduate,Large,560020,1.0,22
71,24,F,Single,Student,10001 to 25000,Post Graduate,Small,560028,0.0,24
72,25,F,Single,Student,No Income,Post Graduate,Small,560001,1.0,25
73,23,M,Single,Student,No Income,Post Graduate,Small,560076,1.0,23
74,26,M,Single,Student,No Income,Post Graduate,Large,560003,1.0,26
75,24,F,Single,Student,25001 to 50000,Post Graduate,Small,560064,1.0,24
76,26,M,Single,Student,No Income,Post Graduate,Large,560036,1.0,26
77,21,M,Single,Student,No Income,Graduate,Large,560009,1.0,21
78,22,F,Single,Student,No Income,Post Graduate,Small,560009,1.0,22
79,24,M,Single,Student,No Income,Post Graduate,Large,560011,1.0,24
80,24,M,Single,Student,10001 to 25000,Post Graduate,Large,560061,1.0,24
81,23,F,Single,Student,No Income,Post Graduate,Small,560009,1.0,23
82,23,M,Single,Student,No Income,Post Graduate,Small,560029,1.0,23
83,22,M,Single,Student,No Income,Post Graduate,Small,560004,1.0,22
84,23,M,Single,Student,No Income,Post Graduate,Small,560009,1.0,23
85,24,F,Single,Student,No Income,Post Graduate,Large,560038,1.0,24
86,24,M,Single,Student,No Income,Post Graduate,Large,560011,1.0,24
87,25,M,Single,Student,No Income,Graduate,Small,560009,1.0,25
88,25,M,Single,Student,No Income,Post Graduate,Large,560009,0.0,25
89,28,M,Married,Self Employeed,10001 to 25000,Graduate,Small,560022,0.0,28
90,27,F,Prefer not to say,Employee,25001 to 50000,Post Graduate,Large,560022,0.0,27
91,26,M,Single,Self Employeed,10001 to 25000,Ph.D,Small,560066,0.0,26
92,22,M,Single,Student,No Income,Post Graduate,Small,560009,1.0,22
93,24,F,Single,Student,No Income,Post Graduate,Small,560009,1.0,24
94,23,M,Single,Student,No Income,Post Graduate,Small,560027,1.0,23
95,25,M,Single,Student,No Income,Graduate,Small,560009,1.0,25
96,23,F,Single,Student,No Income,Graduate,Large,560043,1.0,23
97,23,F,Single,Student,No Income,Graduate,Large,560043,1.0,23
98,26,M,Married,Employee,25001 to 50000,Graduate,Large,560007,0.0,26
99,32,F,Married,House wife,No Income,Uneducated,Small,560012,0.0,32
100,24,F,Single,Student,10001 to 25000,Post Graduate,Small,560028,0.0,24
101,23,M,Single,Student,No Income,Post Graduate,Small,560030,1.0,23
102,22,F,Single,Employee,10001 to 25000,Graduate,Small,560066,1.0,22
103,24,F,Single,Student,No Income,Ph.D,Small,560004,1.0,24
104,26,M,Single,Employee,25001 to 50000,Graduate,Small,560034,1.0,26
105,28,M,Married,Employee,More than 50000,Graduate,Small,560066,0.0,28
106,26,M,Single,Employee,More than 50000,Post Graduate,Small,560066,0.0,26
107,25,M,Single,Student,No Income,Post Graduate,Small,560029,1.0,25
108,25,M,Single,Employee,Below Rs.10000,Graduate,Small,560066,0.0,25
109,18,M,Single,Student,No Income,Graduate,Large,560002,1.0,18
110,21,M,Single,Student,No Income,Post Graduate,Large,560009,1.0,21
111,25,M,Single,Student,No Income,Post Graduate,Small,560029,1.0,25
112,25,M,Single,Student,Below Rs.10000,Post Graduate,Small,560021,1.0,25
113,23,F,Single,Student,No Income,Graduate,Large,560043,1.0,23
114,23,M,Single,Employee,10001 to 25000,Post Graduate,Small,560010,1.0,23
115,25,F,Married,Employee,25001 to 50000,Graduate,Large,560017,0.0,25
116,31,F,Married,House wife,No Income,School,Large,560022,1.0,31
117,24,M,Prefer not to say,Self Employeed,More than 50000,Ph.D,Small,560006,0.0,24
118,32,F,Married,Employee,25001 to 50000,Graduate,Large,560034,1.0,32
119,25,M,Single,Employee,25001 to 50000,Graduate,Small,560001,1.0,25
120,27,F,Married,Self Employeed,More than 50000,Graduate,Large,560001,0.0,27
121,26,M,Single,Self Employeed,25001 to 50000,Graduate,Small,560001,1.0,26
122,26,F,Single,Self Employeed,25001 to 50000,Post Graduate,Small,560002,1.0,26
123,32,M,Married,Employee,More than 50000,Ph.D,Large,560002,1.0,32
124,24,M,Married,Self Employeed,More than 50000,Ph.D,Large,560002,0.0,24
125,27,F,Married,Self Employeed,25001 to 50000,Graduate,Small,560002,1.0,27
126,23,M,Single,Student,No Income,Post Graduate,Small,560009,1.0,23
127,25,M,Single,Student,No Income,Post Graduate,Large,560009,1.0,25
128,23,M,Single,Student,No Income,Post Graduate,Small,560009,1.0,23
129,23,F,Single,Student,No Income,Post Graduate,Large,560024,1.0,23
130,28,M,Married,Employee,More than 50000,Post Graduate,Small,560003,1.0,28
131,32,F,Married,Employee,More than 50000,Graduate,Small,560003,0.0,32
132,23,M,Single,Student,No Income,Post Graduate,Small,560003,1.0,23
133,19,M,Single,Student,No Income,Graduate,Small,560003,0.0,19
134,19,F,Single,Student,No Income,Graduate,Large,560047,1.0,19
135,27,F,Married,Employee,25001 to 50000,Post Graduate,Small,560066,0.0,27
136,25,M,Single,Self Employeed,25001 to 50000,Graduate,Small,560005,1.0,25
137,33,M,Married,Employee,More than 50000,Ph.D,Large,560005,0.0,33
138,26,F,Single,Employee,More than 50000,Graduate,Small,560005,1.0,26
139,22,F,Single,Student,Below Rs.10000,Post Graduate,Large,560029,1.0,22
140,23,M,Single,Student,No Income,Post Graduate,Small,560064,0.0,23
141,22,F,Single,Student,No Income,Graduate,Small,560096,1.0,22
142,25,M,Married,Employee,25001 to 50000,Graduate,Small,560005,1.0,25
143,30,F,Married,House wife,No Income,School,Large,560005,1.0,30
144,24,M,Single,Student,No Income,Post Graduate,Small,560006,0.0,24
145,25,M,Single,Employee,10001 to 25000,Post Graduate,Small,560006,1.0,25
146,23,M,Single,Student,More than 50000,Post Graduate,Small,560009,1.0,23
147,24,F,Single,Student,No Income,Post Graduate,Large,560073,1.0,24
148,32,M,Married,Employee,10001 to 25000,Graduate,Large,560038,1.0,32
149,22,M,Single,Student,No Income,Post Graduate,Large,560020,1.0,22
150,23,M,Single,Student,More than 50000,Post Graduate,Small,560009,1.0,23
151,23,F,Single,Student,No Income,Post Graduate,Large,560024,1.0,23
152,20,M,Single,Student,No Income,Graduate,Small,560007,1.0,20
153,21,M,Single,Student,No Income,Graduate,Small,560007,1.0,21
154,24,F,Married,Self Employeed,10001 to 25000,Graduate,Large,560007,1.0,24
155,23,F,Single,Student,No Income,Post Graduate,Large,560024,1.0,23
156,25,M,Single,Employee,25001 to 50000,Post Graduate,Small,560010,1.0,25
157,32,F,Married,House wife,No Income,Graduate,Small,560010,1.0,32
158,27,M,Married,Employee,More than 50000,Ph.D,Large,560010,0.0,27
159,20,F,Single,Student,No Income,Graduate,Small,560011,1.0,20
160,21,M,Single,Student,No Income,Graduate,Small,560011,1.0,21
161,26,M,Single,Employee,More than 50000,Post Graduate,Small,560011,0.0,26
162,25,M,Single,Employee,10001 to 25000,Graduate,Large,560016,1.0,25
163,26,M,Single,Employee,25001 to 50000,Post Graduate,Small,560012,1.0,26
164,26,F,Married,Employee,25001 to 50000,Graduate,Small,560012,1.0,26
165,27,M,Single,Employee,More than 50000,Ph.D,Large,560013,0.0,27
166,27,F,Single,Student,No Income,Ph.D,Large,560013,0.0,27
167,24,F,Single,Student,No Income,Post Graduate,Large,560051,1.0,24
168,25,M,Married,Self Employeed,More than 50000,School,Small,560015,1.0,25
169,20,M,Single,Student,No Income,Graduate,Small,560015,0.0,20
170,22,M,Single,Student,No Income,Post Graduate,Small,560015,1.0,22
171,26,F,Married,Student,Below Rs.10000,Ph.D,Small,560016,1.0,26
172,27,M,Prefer not to say,Employee,25001 to 50000,Post Graduate,Small,560016,1.0,27
173,25,F,Single,Student,No Income,Post Graduate,Small,560017,1.0,25
174,24,M,Single,Employee,Below Rs.10000,Graduate,Small,560017,1.0,24
175,23,F,Single,Employee,10001 to 25000,Graduate,Large,560017,1.0,23
176,22,M,Single,Student,No Income,Graduate,Small,560018,0.0,22
177,26,M,Married,Self Employeed,More than 50000,Post Graduate,Small,560018,0.0,26
178,26,M,Single,Employee,Below Rs.10000,Post Graduate,Small,560018,1.0,26
179,25,F,Married,Self Employeed,25001 to 50000,Post Graduate,Small,560018,0.0,25
180,29,F,Married,Employee,More than 50000,Graduate,Small,560018,0.0,29
181,23,M,Single,Student,Below Rs.10000,Graduate,Small,560109,1.0,23
182,22,F,Single,Employee,25001 to 50000,Graduate,Large,560066,1.0,22
183,22,M,Single,Student,No Income,Graduate,Small,560020,0.0,22
184,32,F,Married,House wife,No Income,School,Large,560020,1.0,32
185,28,M,Married,Employee,More than 50000,Post Graduate,Small,560021,1.0,28
186,22,M,Single,Student,No Income,Post Graduate,Small,560009,1.0,22
187,25,M,Single,Employee,10001 to 25000,Graduate,Small,560023,1.0,25
188,26,F,Married,Employee,25001 to 50000,Post Graduate,Small,560023,0.0,26
189,31,M,Married,Self Employeed,More than 50000,School,Large,560024,1.0,31
190,24,M,Single,Student,No Income,Post Graduate,Small,560024,0.0,24
191,24,M,Single,Employee,25001 to 50000,Post Graduate,Small,560025,1.0,24
192,31,F,Married,Employee,More than 50000,Ph.D,Large,560025,1.0,31
193,26,M,Single,Employee,25001 to 50000,Graduate,Small,560029,1.0,26
194,24,F,Married,Self Employeed,More than 50000,Graduate,Small,560029,1.0,24
195,22,F,Single,Student,No Income,Graduate,Small,560029,1.0,22
196,19,M,Single,Student,No Income,Graduate,Large,560030,1.0,19
197,25,M,Married,Employee,More than 50000,Post Graduate,Large,560030,1.0,25
198,23,F,Married,House wife,No Income,School,Large,560030,1.0,23
199,23,F,Single,Student,No Income,Graduate,Small,560032,0.0,23
200,23,M,Single,Student,No Income,Post Graduate,Small,560034,1.0,23
201,24,M,Single,Student,No Income,Post Graduate,Large,560104,1.0,24
202,22,F,Single,Employee,25001 to 50000,Graduate,Large,560076,1.0,22
203,26,M,Married,Employee,More than 50000,Graduate,Large,560036,1.0,26
204,25,F,Single,Student,No Income,Ph.D,Small,560036,1.0,25
205,20,M,Single,Student,No Income,Graduate,Small,560034,1.0,20
206,29,M,Married,Employee,25001 to 50000,Graduate,Large,560034,0.0,29
207,23,F,Single,Student,No Income,Graduate,Small,560009,1.0,23
208,25,M,Single,Self Employeed,More than 50000,Graduate,Small,560038,1.0,25
209,29,F,Married,Employee,25001 to 50000,Graduate,Large,560038,0.0,29
210,27,M,Married,Self Employeed,25001 to 50000,Graduate,Large,560041,0.0,27
211,25,M,Single,Self Employeed,10001 to 25000,Graduate,Small,560043,1.0,25
212,21,M,Single,Student,No Income,Graduate,Small,560046,0.0,21
213,23,M,Single,Student,No Income,Graduate,Small,560049,1.0,23
214,24,F,Single,Employee,10001 to 25000,Post Graduate,Large,560011,1.0,24
215,32,M,Married,Self Employeed,10001 to 25000,School,Small,560008,1.0,32
216,28,M,Married,Employee,25001 to 50000,Post Graduate,Large,560045,1.0,28
217,26,M,Single,Employee,10001 to 25000,Graduate,Small,560041,0.0,26
218,31,F,Married,House wife,No Income,Graduate,Large,560055,1.0,31
219,27,F,Married,Self Employeed,25001 to 50000,Graduate,Small,560055,1.0,27
220,21,F,Single,Student,No Income,Post Graduate,Small,560041,1.0,21
221,23,F,Single,Student,No Income,Graduate,Small,560060,0.0,23
222,26,M,Married,Employee,10001 to 25000,Graduate,Large,560060,0.0,26
223,32,M,Married,Employee,More than 50000,Graduate,Large,560061,1.0,32
224,25,F,Married,Student,No Income,Post Graduate,Small,560062,1.0,25
225,28,M,Single,Self Employeed,10001 to 25000,Post Graduate,Small,560070,1.0,28
226,21,F,Single,Student,No Income,Post Graduate,Small,560070,1.0,21
227,24,M,Single,Student,No Income,Post Graduate,Small,560075,1.0,24
228,26,F,Married,Self Employeed,10001 to 25000,Graduate,Large,560075,0.0,26
229,32,M,Married,Employee,25001 to 50000,Graduate,Small,560075,1.0,32
230,29,M,Single,Self Employeed,More than 50000,Graduate,Large,560076,1.0,29
231,21,M,Single,Student,No Income,Graduate,Large,560038,1.0,21
232,24,F,Single,Self Employeed,25001 to 50000,Post Graduate,Small,560080,0.0,24
233,26,M,Prefer not to say,Self Employeed,More than 50000,Post Graduate,Small,560080,1.0,26
234,25,M,Married,Employee,More than 50000,Ph.D,Small,560085,1.0,25
235,29,M,Single,Employee,25001 to 50000,Graduate,Small,560092,0.0,29
236,22,M,Single,Student,No Income,Graduate,Small,560096,1.0,22
237,24,M,Single,Student,No Income,Graduate,Small,560027,1.0,24
238,27,M,Married,Employee,25001 to 50000,Graduate,Small,560076,1.0,27
239,23,F,Single,Student,No Income,Post Graduate,Small,560095,0.0,23
240,32,M,Married,Employee,More than 50000,Post Graduate,Large,560095,1.0,32
241,22,F,Single,Student,No Income,Graduate,Small,560095,1.0,22
242,28,M,Married,Employee,25001 to 50000,Graduate,Small,560095,1.0,28
243,23,F,Single,Student,No Income,Post Graduate,Small,560096,1.0,23
244,30,M,Married,Self Employeed,More than 50000,Graduate,Small,560097,0.0,30
245,21,M,Single,Student,No Income,Graduate,Small,560092,1.0,21
246,26,F,Married,Employee,Below Rs.10000,Graduate,Large,560093,0.0,26
247,25,M,Single,Self Employeed,More than 50000,School,Small,560093,1.0,25
248,31,M,Prefer not to say,Employee,Below Rs.10000,Graduate,Small,560091,0.0,31
249,23,F,Single,Employee,25001 to 50000,Post Graduate,Small,560100,1.0,23
250,29,F,Married,Employee,25001 to 50000,Ph.D,Small,560100,1.0,29
251,21,M,Single,Student,No Income,Graduate,Large,560100,1.0,21
252,20,M,Single,Student,No Income,Graduate,Small,560103,1.0,20
253,22,M,Single,Employee,10001 to 25000,Graduate,Small,560103,1.0,22
254,30,F,Married,House wife,No Income,School,Large,560042,0.0,30
255,27,M,Married,Self Employeed,More than 50000,Graduate,Small,560079,1.0,27
256,23,M,Single,Student,No Income,Post Graduate,Small,560009,0.0,23
257,30,M,Married,Self Employeed,25001 to 50000,School,Large,560059,0.0,30
258,23,M,Single,Student,No Income,Post Graduate,Small,560067,1.0,23
259,28,F,Married,Employee,25001 to 50000,Post Graduate,Large,560067,0.0,28
260,30,M,Married,Self Employeed,More than 50000,Graduate,Large,560067,1.0,30
261,24,F,Married,Employee,25001 to 50000,Post Graduate,Small,560018,1.0,24
262,21,M,Single,Student,No Income,Graduate,Small,560018,0.0,21
263,23,F,Prefer not to say,Employee,10001 to 25000,Graduate,Small,560020,0.0,23
264,25,M,Married,Self Employeed,More than 50000,Post Graduate,Large,560043,1.0,25
265,24,F,Single,Employee,25001 to 50000,Graduate,Small,560068,1.0,24
266,26,M,Married,Employee,10001 to 25000,Graduate,Small,560068,0.0,26
267,25,F,Single,Employee,25001 to 50000,Post Graduate,Small,560067,1.0,25
268,22,M,Single,Student,25001 to 50000,Graduate,Small,560038,1.0,22
269,26,F,Single,Employee,25001 to 50000,Post Graduate,Small,560038,1.0,26
270,23,M,Single,Employee,10001 to 25000,Graduate,Small,560021,1.0,23
271,21,F,Single,Employee,Below Rs.10000,Graduate,Small,560021,0.0,21
272,25,M,Married,Self Employeed,25001 to 50000,Graduate,Small,560027,1.0,25
273,24,F,Married,Employee,10001 to 25000,Post Graduate,Small,560027,1.0,24
274,22,M,Married,Student,No Income,Graduate,Small,560014,1.0,22
275,23,F,Single,Student,No Income,Post Graduate,Large,560024,1.0,23
276,24,M,Married,Employee,More than 50000,Post Graduate,Small,560056,1.0,24
277,22,F,Single,Student,No Income,Graduate,Small,560056,1.0,22
278,30,M,Married,Employee,More than 50000,Graduate,Large,560072,0.0,30
279,23,F,Prefer not to say,Employee,10001 to 25000,Graduate,Large,560036,1.0,23
280,19,M,Single,Student,No Income,Graduate,Large,560036,1.0,19
281,21,F,Single,Student,No Income,Graduate,Small,560080,1.0,21
282,23,M,Single,Student,No Income,Graduate,Large,560080,1.0,23
283,24,F,Single,Employee,25001 to 50000,Graduate,Small,560068,1.0,24
284,26,F,Married,Employee,10001 to 25000,Post Graduate,Small,560042,0.0,26
285,26,F,Single,Student,No Income,Ph.D,Small,560023,1.0,26
286,25,F,Single,Student,10001 to 25000,Graduate,Small,560023,1.0,25
287,28,F,Married,Employee,25001 to 50000,Graduate,Large,560023,0.0,28
288,25,F,Single,Student,No Income,Post Graduate,Small,560014,1.0,25
289,20,F,Single,Student,No Income,Graduate,Small,560014,1.0,20
290,27,F,Married,Self Employeed,More than 50000,Graduate,Large,560014,0.0,27
291,25,F,Married,Employee,25001 to 50000,Graduate,Small,560015,0.0,25
292,24,F,Single,Student,No Income,Post Graduate,Large,560015,0.0,24
293,25,F,Married,Employee,More than 50000,Graduate,Small,560009,0.0,25
294,25,F,Prefer not to say,Employee,25001 to 50000,Post Graduate,Small,560005,0.0,25
295,24,F,Married,Student,Below Rs.10000,Ph.D,Large,560015,1.0,24
296,24,M,Single,Student,No Income,Post Graduate,Small,560015,1.0,24
297,22,M,Single,Employee,10001 to 25000,Graduate,Small,560006,1.0,22
298,28,M,Single,Employee,25001 to 50000,Post Graduate,Small,560006,0.0,28
299,25,F,Single,Employee,More than 50000,Post Graduate,Large,560012,0.0,25
300,22,M,Single,Student,Below Rs.10000,Post Graduate,Small,560017,1.0,22
301,22,F,Single,Student,No Income,Graduate,Large,560019,1.0,22
302,22,M,Single,Student,Below Rs.10000,Post Graduate,Large,560010,1.0,22
303,27,F,Married,Employee,More than 50000,Post Graduate,Small,560103,1.0,27
304,22,M,Single,Student,No Income,Graduate,Small,560009,1.0,22
305,24,F,Single,Student,No Income,Post Graduate,Small,560042,1.0,24
306,23,F,Single,Student,No Income,Post Graduate,Small,560001,1.0,23
307,23,F,Single,Student,No Income,Post Graduate,Large,560048,1.0,23
308,22,F,Single,Student,No Income,Post Graduate,Large,560010,1.0,22
309,23,M,Single,Student,Below Rs.10000,Post Graduate,Small,560009,1.0,23
310,32,M,Married,Employee,More than 50000,Graduate,Large,560061,1.0,32
311,25,F,Married,Student,No Income,Post Graduate,Small,560062,1.0,25
312,28,M,Single,Self Employeed,10001 to 25000,Post Graduate,Small,560070,1.0,28
313,21,F,Single,Student,No Income,Post Graduate,Small,560070,1.0,21
314,24,M,Single,Student,No Income,Post Graduate,Small,560075,1.0,24
315,26,F,Married,Self Employeed,10001 to 25000,Graduate,Large,560075,0.0,26
316,32,M,Married,Employee,25001 to 50000,Graduate,Small,560075,1.0,32
317,29,M,Single,Self Employeed,More than 50000,Graduate,Large,560076,1.0,29
318,21,M,Single,Student,No Income,Graduate,Large,560038,1.0,21
319,24,F,Single,Self Employeed,25001 to 50000,Post Graduate,Small,560080,0.0,24
320,26,M,Prefer not to say,Self Employeed,More than 50000,Post Graduate,Small,560080,1.0,26
321,21,M,Married,Employee,More than 50000,Ph.D,Small,560085,1.0,21
322,29,M,Single,Employee,25001 to 50000,Graduate,Small,560092,0.0,29
323,22,M,Single,Student,No Income,Graduate,Small,560096,1.0,22
324,24,M,Single,Student,No Income,Graduate,Small,560027,1.0,24
325,27,M,Married,Employee,25001 to 50000,Graduate,Small,560076,1.0,27
326,23,F,Single,Student,No Income,Post Graduate,Small,560095,0.0,23
327,32,M,Married,Employee,More than 50000,Post Graduate,Large,560095,1.0,32
328,22,F,Single,Student,No Income,Graduate,Small,560095,1.0,22
329,22,F,Single,Employee,25001 to 50000,Graduate,Large,560076,1.0,22
330,26,M,Married,Employee,More than 50000,Graduate,Large,560036,1.0,26
331,25,F,Single,Student,No Income,Ph.D,Small,560036,1.0,25
332,20,M,Single,Student,No Income,Graduate,Small,560034,1.0,20
333,29,M,Married,Employee,25001 to 50000,Graduate,Large,560034,0.0,29
334,23,F,Single,Student,No Income,Graduate,Small,560009,1.0,23
335,25,M,Single,Self Employeed,More than 50000,Graduate,Small,560038,1.0,25
336,29,F,Married,Employee,25001 to 50000,Graduate,Large,560038,0.0,29
337,27,M,Married,Self Employeed,25001 to 50000,Graduate,Large,560041,0.0,27
338,25,M,Single,Self Employeed,10001 to 25000,Graduate,Small,560043,1.0,25
339,21,M,Single,Student,No Income,Graduate,Small,560046,0.0,21
340,23,M,Single,Student,No Income,Graduate,Small,560049,1.0,23
341,24,F,Single,Employee,10001 to 25000,Post Graduate,Large,560011,1.0,24
342,22,M,Married,Self Employeed,10001 to 25000,School,Small,560008,1.0,22
343,28,M,Married,Employee,25001 to 50000,Post Graduate,Large,560045,1.0,28
344,26,M,Single,Employee,10001 to 25000,Graduate,Small,560041,0.0,26
345,22,F,Single,Employee,25001 to 50000,Graduate,Large,560076,1.0,22
346,26,M,Married,Employee,More than 50000,Graduate,Large,560036,1.0,26
347,25,F,Single,Student,No Income,Ph.D,Small,560036,1.0,25
348,20,M,Single,Student,No Income,Graduate,Small,560034,1.0,20
349,29,M,Married,Employee,25001 to 50000,Graduate,Large,560034,0.0,29
350,23,F,Single,Student,No Income,Graduate,Small,560009,1.0,23
351,25,M,Single,Self Employeed,More than 50000,Graduate,Small,560038,1.0,25
352,29,F,Married,Employee,25001 to 50000,Graduate,Large,560038,0.0,29
353,27,M,Married,Self Employeed,25001 to 50000,Graduate,Large,560041,0.0,27
354,25,M,Single,Self Employeed,10001 to 25000,Graduate,Small,560043,1.0,25
355,21,M,Single,Student,No Income,Graduate,Small,560046,0.0,21
356,24,M,Single,Student,No Income,Post Graduate,Small,560075,1.0,24
357,26,F,Married,Self Employeed,10001 to 25000,Graduate,Large,560075,0.0,26
358,32,M,Married,Employee,25001 to 50000,Graduate,Small,560075,1.0,32
359,29,M,Single,Self Employeed,More than 50000,Graduate,Large,560076,1.0,29
360,21,M,Single,Student,No Income,Graduate,Large,560038,1.0,21
361,24,F,Single,Self Employeed,25001 to 50000,Post Graduate,Small,560080,0.0,24
362,26,M,Prefer not to say,Self Employeed,More than 50000,Post Graduate,Small,560080,1.0,26
363,31,M,Married,Employee,More than 50000,Ph.D,Small,560085,1.0,31
364,29,M,Single,Employee,25001 to 50000,Graduate,Small,560092,0.0,29
365,22,M,Single,Student,No Income,Graduate,Small,560096,1.0,22
366,24,M,Single,Student,No Income,Graduate,Small,560027,1.0,24
367,27,M,Married,Employee,25001 to 50000,Graduate,Small,560076,1.0,27
368,23,F,Single,Student,No Income,Post Graduate,Small,560095,0.0,23
369,30,M,Married,Employee,More than 50000,Post Graduate,Large,560095,1.0,30
370,22,F,Single,Student,No Income,Graduate,Small,560095,1.0,22
371,28,M,Married,Employee,25001 to 50000,Graduate,Small,560095,1.0,28
372,23,F,Single,Student,No Income,Post Graduate,Small,560096,1.0,23
373,30,M,Married,Self Employeed,More than 50000,Graduate,Small,560097,0.0,30
374,21,M,Single,Student,No Income,Graduate,Small,560092,1.0,21
375,26,F,Married,Employee,Below Rs.10000,Graduate,Large,560093,0.0,26
376,25,M,Single,Self Employeed,More than 50000,School,Small,560093,1.0,25
377,31,M,Prefer not to say,Employee,Below Rs.10000,Graduate,Small,560091,0.0,31
